League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
IRELAND - PREMIER DIVISION,05/09/2024,15:45,Dundalk,St. Patricks,3.7,3.3,1.95,2.05,1.75,1.91,1.91,H,A,D,O,O,O,Y,Y,Y
BRAZIL - SERIE A,05/09/2024,20:00,Cuiaba,Juventude,2.0,3.3,3.8,2.3,1.6,2.0,1.75,A,H,A,O,U,U,N,Y,N
BRAZIL - SERIE B,05/09/2024,21:30,Paysandu PA,Amazonas,2.1,3.1,3.75,2.6,1.48,2.2,1.62,D,A,H,O,O,U,N,Y,N
