League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
CHINA - SUPER LEAGUE,01/05/2024,04:30,Changchun Yatai,Shenzhen Xinpengcheng,2.5,3.4,2.8,1.88,1.98,1.67,2.1,D,A,A,O,O,O,Y,Y,N
AUSTRALIA - A-LEAGUE,01/05/2024,06:00,Central Coast Mariners,Adelaide United,1.62,4.5,4.75,1.33,3.4,1.4,2.75,H,A,H,U,O,U,Y,N,N
CHINA - SUPER LEAGUE,01/05/2024,07:00,Qingdao Hainiu,Shanghai Port,9.5,4.75,1.36,1.62,2.25,1.95,1.8,D,A,A,O,O,O,Y,Y,N
SOUTH KOREA - K LEAGUE 1,01/05/2024,07:00,Incheon,Jeonbuk,3.1,3.3,2.3,2.08,1.73,1.8,1.91,D,A,A,U,U,U,Y,Y,Y
SOUTH KOREA - K LEAGUE 1,01/05/2024,07:00,Jeju Utd,Gwangju FC,2.63,3.2,2.63,2.2,1.65,1.83,1.83,D,A,A,U,U,U,Y,Y,Y
SOUTH KOREA - K LEAGUE 1,01/05/2024,07:00,Daegu,Ulsan HD,3.8,3.5,1.91,1.93,1.93,1.8,1.91,D,A,A,U,U,U,Y,Y,Y
SOUTH KOREA - K LEAGUE 1,01/05/2024,07:00,Gangwon,Pohang,2.88,3.1,2.55,2.4,1.53,2.0,1.73,D,A,A,U,U,U,Y,Y,Y
UKRAINE - PREMIER LEAGUE,01/05/2024,07:00,Ch. Odessa,Shakhtar Donetsk,10.75,5.9,1.21,1.44,2.42,1.98,1.65,H,A,A,U,O,U,N,N,Y
ITALY - SERIE B,01/05/2024,07:30,Cremonese,Pisa,1.85,3.5,4.2,1.85,2.0,1.7,2.05,D,A,D,U,O,O,Y,Y,Y
ESTONIA - MEISTRILIIGA,01/05/2024,08:30,Levadia,Paide,1.45,4.1,5.6,1.7,1.93,1.86,1.9,D,D,A,U,U,U,Y,Y,N
CHINA - SUPER LEAGUE,01/05/2024,08:35,Chengdu Rongcheng,Wuhan Three Towns,1.62,4.0,5.5,1.7,2.1,1.75,2.0,D,A,A,O,O,O,Y,Y,N
CHINA - SUPER LEAGUE,01/05/2024,09:00,Shanghai Shenhua,Cangzhou,1.17,7.5,17.0,1.5,2.5,2.2,1.62,D,A,A,O,O,O,Y,Y,N
UKRAINE - PREMIER LEAGUE,01/05/2024,09:30,Dyn. Kyiv,Veres-Rivne,1.17,6.2,13.0,1.5,2.27,2.27,1.5,H,A,A,U,O,U,N,N,Y
SOUTH AFRICA - PREMIER LEAGUE,01/05/2024,10:00,Chippa Utd.,Swallows,2.25,3.0,3.3,2.42,1.5,2.1,1.65,D,H,A,O,U,U,N,N,N
SOUTH AFRICA - PREMIER LEAGUE,01/05/2024,10:00,Cape Town City,Orlando Pirates,2.8,3.1,2.52,2.15,1.65,1.85,1.85,D,H,A,O,U,U,N,N,N
ITALY - SERIE B,01/05/2024,10:00,Catanzaro,Venezia,3.2,3.4,2.2,1.7,2.1,1.54,2.25,D,A,D,U,O,O,Y,Y,Y
ITALY - SERIE B,01/05/2024,10:00,Como,Cittadella,1.62,4.0,5.25,1.95,1.9,1.92,1.77,D,A,D,U,O,O,Y,Y,Y
ITALY - SERIE B,01/05/2024,10:00,Spezia,Palermo,2.25,3.4,3.2,1.93,1.93,1.67,2.05,D,A,D,U,O,O,Y,Y,Y
ITALY - SERIE B,01/05/2024,10:00,Sudtirol,Ternana,2.2,3.25,3.4,2.25,1.62,2.0,1.75,D,A,D,U,O,O,Y,Y,Y
ITALY - SERIE B,01/05/2024,10:00,Ascoli,Cosenza,2.4,3.1,3.2,2.6,1.48,2.1,1.67,D,A,D,U,O,O,Y,Y,Y
BELGIUM - JUPILER PRO LEAGUE,01/05/2024,11:00,Deinze,Patro Eisden,1.91,3.6,3.8,1.75,2.05,1.67,2.1,A,D,A,U,U,U,N,Y,Y
SERBIA - PRVA LIGA,01/05/2024,11:00,Jedinstvo U.,Tekstilac Odzaci,1.95,3.05,3.7,2.35,1.47,2.14,1.67,D,H,H,O,U,U,N,Y,Y
SERBIA - SUPER LIGA,01/05/2024,11:00,IMT Novi Beograd,Radnik,1.34,4.65,8.5,1.72,2.05,2.05,1.7,H,A,D,O,U,O,N,Y,N
SERBIA - PRVA LIGA,01/05/2024,11:00,Radnicki S. Mitrovica,Graficar Beograd,2.22,3.05,3.0,2.25,1.5,1.98,1.79,D,H,H,O,U,U,N,Y,Y
SERBIA - PRVA LIGA,01/05/2024,11:00,Smederevo,Macva,2.27,3.0,3.0,2.54,1.43,2.12,1.69,D,H,H,O,U,U,N,Y,Y
SERBIA - SUPER LIGA,01/05/2024,11:00,Radnicki Nis,Vozdovac,1.85,3.5,3.95,1.9,1.85,1.78,1.93,H,A,D,O,U,O,N,Y,N
SOUTH AFRICA - PREMIER LEAGUE,01/05/2024,12:30,Stellenbosch,Golden Arrows,1.53,3.8,6.0,2.0,1.75,2.05,1.7,D,H,A,O,U,U,N,N,N
EGYPT - PREMIER LEAGUE,01/05/2024,13:00,El Ismaily,Al Ahly,7.8,4.15,1.39,1.93,1.78,2.15,1.55,D,A,A,O,U,O,Y,N,Y
EGYPT - PREMIER LEAGUE,01/05/2024,13:00,Enppi,Pyramids,6.4,3.75,1.5,2.05,1.62,2.15,1.55,D,A,A,O,U,O,Y,N,Y
ESTONIA - MEISTRILIIGA,01/05/2024,13:00,Tallinna Kalev,Flora,3.85,3.85,1.7,1.57,2.1,1.61,2.25,D,D,A,U,U,U,Y,Y,N
ITALY - SERIE B,01/05/2024,13:00,Bari,Parma,3.6,3.3,2.1,1.98,1.88,1.75,2.0,D,A,D,U,O,O,Y,Y,Y
