League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
BRAZIL - SERIE B,10/06/2024,19:00,Vila Nova FC,Ceara,2.45,3.1,3.0,2.35,1.57,2.0,1.73,D,A,H,U,O,U,Y,Y,N
BRAZIL - SERIE B,10/06/2024,21:30,Sport Recife,Paysandu PA,1.57,3.8,6.0,2.03,1.83,2.0,1.73,D,A,H,U,O,U,Y,Y,N
