Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2025-10-12,00:00,MEXICO 2,Dorados de Sinaloa,Atlante,5.1,1.57,3.85,1.98,1.65,1.7,1.91,A,H,H,U,O,U,N,Y,Y
2025-10-12,02:00,SOUTH KOREA 2,Busan,Bucheon FC 1995,1.95,3.5,3.3,1.75,2.05,1.83,1.83,D,D,A,O,O,U,Y,Y,Y
2025-10-12,02:00,SOUTH KOREA 2,Jeonnam,Ansan Greeners,1.57,5.0,4.0,2.0,1.8,1.83,1.83,D,D,A,O,O,U,Y,Y,Y
2025-10-12,02:00,SOUTH KOREA 2,Suwon Bluewings,Cheonan City,1.4,5.5,5.0,2.4,1.53,1.73,2.0,D,D,A,O,O,U,Y,Y,Y
2025-10-12,04:30,SOUTH KOREA 2,Seongnam,Incheon,3.4,2.2,2.9,1.62,2.25,1.91,1.8,D,D,A,O,O,U,Y,Y,Y
2025-10-12,04:30,SOUTH KOREA 2,Asan,Gyeongnam,1.55,5.0,4.0,2.1,1.7,1.8,1.91,D,D,A,O,O,U,Y,Y,Y
2025-10-12,07:00,SPAIN 3,Osasuna B,Racing Club Ferrol,3.1,2.15,3.0,1.5,2.5,2.1,1.67,D,H,A,U,U,U,Y,Y,Y
2025-10-12,07:00,SPAIN 3,Real Madrid B,Pontevedra,2.15,3.3,2.9,1.65,2.2,2.0,1.73,D,H,A,U,U,U,Y,Y,Y
2025-10-12,07:00,SPAIN 3,Sabadell,Teruel,2.0,3.3,3.2,1.5,2.5,2.25,1.57,D,H,A,U,U,U,Y,Y,Y
2025-10-12,07:00,SPAIN 3,Torremolinos,UD Ibiza,3.25,2.05,3.1,1.5,2.5,2.2,1.62,D,H,A,U,U,U,Y,Y,Y
2025-10-12,07:30,ITALY 3,Monopoli,Salernitana,2.85,2.37,3.05,1.6,2.18,1.9,1.8,H,D,H,U,O,U,N,Y,N
2025-10-12,07:30,ITALY 3,Vis Pesaro,Torres,2.47,2.87,2.87,1.5,2.42,2.02,1.7,H,D,H,U,O,U,N,Y,N
2025-10-12,09:00,SPAIN 2,Albacete,Ceuta,1.81,3.9,3.7,1.98,1.83,1.73,2.0,D,A,H,O,O,O,N,N,Y
2025-10-12,09:15,SPAIN 3,Zamora,Real Aviles,1.55,5.75,3.4,1.7,2.1,2.1,1.67,D,H,A,U,U,U,Y,Y,Y
2025-10-12,09:30,ITALY 3,Cosenza,Atalanta U23,1.93,3.45,3.4,1.98,1.75,1.65,2.12,H,D,H,U,O,U,N,Y,N
2025-10-12,09:30,ITALY 3,Cittadella,Triestina,2.02,3.5,3.15,1.6,2.2,1.95,1.75,H,D,H,U,O,U,N,Y,N
2025-10-12,09:30,ITALY 3,Casarano,Audace Cerignola,2.47,2.92,2.82,1.6,2.18,1.83,1.87,H,D,H,U,O,U,N,Y,N
2025-10-12,09:30,ITALY 3,Cavese,Trapani,2.77,2.37,3.15,1.65,2.12,1.87,1.83,H,D,H,U,O,U,N,Y,N
2025-10-12,09:30,ITALY 3,Potenza,Latina,1.93,3.65,3.25,1.75,1.98,1.82,1.88,H,D,H,U,O,U,N,Y,N
2025-10-12,09:30,ITALY 3,Siracusa,Sorrento,2.27,3.0,3.1,1.72,2.0,1.75,1.95,H,D,H,U,O,U,N,Y,N
2025-10-12,10:30,URUGUAY 1,Montevideo City,Wanderers,1.85,4.2,3.5,1.65,2.2,2.0,1.73,H,H,A,U,U,U,Y,N,N
2025-10-12,11:00,SPAIN 3,Arenteiro,Guadalajara,2.5,2.7,2.9,1.57,2.35,2.0,1.73,D,H,A,U,U,U,Y,Y,Y
2025-10-12,11:15,SPAIN 2,Eibar,Castellon,2.2,3.2,3.25,1.9,1.9,1.67,2.1,D,A,H,O,O,O,N,N,Y
2025-10-12,11:15,SPAIN 2,Gijon,Racing Santander,1.96,3.9,3.2,2.08,1.73,1.57,2.25,D,A,H,O,O,O,N,N,Y
2025-10-12,11:30,SPAIN 3,Sevilla FC B,FC Cartagena SAD,2.55,2.63,3.0,1.5,2.5,2.1,1.67,D,H,A,U,U,U,Y,Y,Y
2025-10-12,12:00,PORTUGAL 3,Atletico CP,1º Dezembro,1.93,3.95,3.15,1.52,2.22,2.0,1.65,H,H,A,U,O,O,Y,Y,N
2025-10-12,12:00,CHILE 1,U. Espanola,Huachipato,2.01,3.25,3.6,2.08,1.73,1.62,2.2,D,D,A,U,O,U,N,N,Y
2025-10-12,12:30,ITALY 3,AlbinoLeffe,Lecco,2.82,2.42,3.0,1.62,2.18,1.88,1.82,H,D,H,U,O,U,N,Y,N
2025-10-12,12:30,ITALY 3,Ospitaletto,Arzignano,2.8,2.42,3.05,1.57,2.25,1.93,1.78,H,D,H,U,O,U,N,Y,N
2025-10-12,12:30,ITALY 3,Benevento,Altamura,1.33,8.25,4.35,2.0,1.72,2.05,1.7,H,D,H,U,O,U,N,Y,N
