Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2025-04-18,05:00,ROMANIA 2,Afumati,CSM Slatina,2.82,2.42,3.2,1.63,2.14,1.83,1.87,H,D,A,U,U,U,N,Y,Y
2025-04-18,05:00,ROMANIA 2,Ceahlaul,Concordia,2.18,3.3,3.15,1.72,2.0,1.78,1.93,H,D,A,U,U,U,N,Y,Y
2025-04-18,05:00,ROMANIA 2,Corvinul,Metalul Buzau,1.5,6.3,3.95,1.81,1.89,2.1,1.65,H,D,A,U,U,U,N,Y,Y
2025-04-18,05:00,ROMANIA 2,Metaloglobus Bucharest,FC Voluntari,3.15,2.42,2.92,1.53,2.34,1.98,1.75,H,D,A,U,U,U,N,Y,Y
2025-04-18,05:00,ROMANIA 2,Campulung,Chindia Targoviste,6.2,1.47,4.1,1.8,1.8,1.98,1.65,H,D,A,U,U,U,N,Y,Y
2025-04-18,05:00,ROMANIA 2,CSM Focsani,FC Bihor,3.45,2.12,3.05,1.59,2.22,1.9,1.72,H,D,A,U,U,U,N,Y,Y
2025-04-18,05:00,ROMANIA 2,U Craiova 1948,Unirea Ungheni,1.78,4.5,3.35,1.62,2.16,2.05,1.7,H,D,A,U,U,U,N,Y,Y
2025-04-18,06:00,UKRAINE 2,Metalist Kharkiv,UCSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,H,A,O,O,U,Y,N,N
2025-04-18,06:30,SLOVAKIA 2,Slovan Bratislava B,Zvolen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,H,H,U,U,U,N,N,N
2025-04-18,06:30,UKRAINE 2,Prykarpattya,Dinaz Vyshgorod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,H,A,O,O,U,Y,N,N
2025-04-18,06:35,AUSTRALIA 1,Adelaide United,Wellington Phoenix,1.6,4.75,4.5,3.2,1.33,1.4,2.75,H,A,A,U,U,O,Y,Y,N
2025-04-18,07:00,PORTUGAL 2,Leiria,Benfica B,2.0,3.3,3.25,1.83,1.91,1.73,2.0,H,H,H,U,O,O,N,N,Y
2025-04-18,07:00,UKRAINE 1,Vorskla Poltava,Oleksandriya,3.3,2.18,3.05,1.53,2.4,1.98,1.65,A,A,D,U,U,U,N,Y,Y
2025-04-18,07:00,PORTUGAL 2,Felgueiras,Leixoes,2.2,3.25,2.9,1.61,2.23,1.91,1.8,H,H,H,U,O,O,N,N,Y
2025-04-18,08:00,BULGARIA 1,Lok. Sofia,Botev Plovdiv,2.5,2.8,3.3,1.69,2.09,1.83,1.83,H,A,H,U,U,U,Y,Y,Y
2025-04-18,08:00,DENMARK 2,Horsens,Esbjerg,1.75,4.0,3.9,2.2,1.65,1.62,2.2,A,A,D,U,O,U,N,N,N
2025-04-18,08:30,ESTONIA 1,Flora,Paide,2.27,2.8,3.2,1.84,1.86,1.68,2.06,D,A,D,O,O,O,N,Y,N
2025-04-18,08:30,ENGLAND 2,Derby,Luton,2.6,3.0,2.9,1.48,2.65,2.2,1.62,H,A,H,U,O,U,N,Y,Y
2025-04-18,08:30,ENGLAND 5,Gateshead,York City,2.9,2.2,3.4,2.12,1.67,1.57,2.25,H,A,H,U,O,O,N,Y,Y
2025-04-18,08:30,UKRAINE 2,Ahrobiznes Volochysk,Kudrivka-Nyva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,H,A,O,O,U,Y,N,N
2025-04-18,08:50,CROATIA 2,Opatija,Zrinski Osjecko,1.36,7.0,4.2,1.81,1.9,2.38,1.53,H,A,A,U,O,U,N,Y,N
2025-04-18,09:00,ENGLAND 3,Exeter,Burton,2.75,2.63,3.1,1.72,2.1,1.8,1.95,H,H,D,O,U,O,N,Y,Y
2025-04-18,10:00,PORTUGAL 2,Portimonense,Pacos Ferreira,2.55,2.7,2.9,1.84,1.9,1.73,2.0,H,H,H,U,O,O,N,N,Y
2025-04-18,10:00,SWEDEN 1,Malmo FF,Sirius,1.3,8.5,5.5,2.5,1.53,1.91,1.91,A,D,H,U,U,O,Y,Y,N
2025-04-18,10:00,SWEDEN 1,Mjallby,Hammarby,2.6,2.7,3.25,1.78,2.05,1.8,1.95,A,D,H,U,U,O,Y,Y,N
2025-04-18,10:30,BULGARIA 1,Cherno More,Beroe,1.8,5.0,3.25,1.49,2.5,2.38,1.53,H,A,H,U,U,U,Y,Y,Y
2025-04-18,11:00,ENGLAND 4,AFC Wimbledon,Chesterfield,2.2,3.1,3.4,1.75,2.05,1.8,1.8,D,A,A,O,O,U,Y,N,Y
2025-04-18,11:00,ENGLAND 3,Rotherham,Mansfield,2.3,3.0,3.3,1.85,1.95,1.7,2.05,H,H,D,O,U,O,N,Y,Y
2025-04-18,11:00,ENGLAND 3,Wrexham,Bristol Rovers,1.39,5.75,5.0,1.9,1.87,2.25,1.54,H,H,D,O,U,O,N,Y,Y
2025-04-18,11:00,BULGARIA 2,Spartak Pleven,Belasitsa,2.27,3.0,2.95,1.48,2.47,2.1,1.65,D,H,H,O,U,U,Y,N,N
2025-04-18,11:00,ENGLAND 3,Birmingham,Crawley,1.33,9.5,4.75,2.45,1.55,1.91,1.91,H,H,D,O,U,O,N,Y,Y
2025-04-18,11:00,ENGLAND 3,Charlton,Northampton,1.6,5.25,3.9,1.87,1.9,2.0,1.75,H,H,D,O,U,O,N,Y,Y
2025-04-18,11:00,ENGLAND 3,Huddersfield,Cambridge Utd,1.57,5.75,3.8,1.9,1.87,1.95,1.8,H,H,D,O,U,O,N,Y,Y
2025-04-18,11:00,ENGLAND 3,Shrewsbury,Wigan,3.6,2.05,3.25,1.44,2.75,2.25,1.57,H,H,D,O,U,O,N,Y,Y
2025-04-18,11:00,ENGLAND 3,Leyton Orient,Barnsley,1.67,4.75,3.7,2.2,1.66,1.67,2.1,H,H,D,O,U,O,N,Y,Y
2025-04-18,11:00,ENGLAND 3,Stevenage,Blackpool,2.88,2.55,3.0,1.68,2.15,1.91,1.91,H,H,D,O,U,O,N,Y,Y
2025-04-18,11:00,ENGLAND 3,Bolton,Wycombe,2.6,2.7,3.2,1.78,2.0,1.8,1.95,H,H,D,O,U,O,N,Y,Y
2025-04-18,11:00,ENGLAND 4,Fleetwood,Barrow,2.2,3.2,3.3,1.68,2.15,1.83,1.83,D,A,A,O,O,U,Y,N,Y
2025-04-18,11:00,ENGLAND 4,Cheltenham,Gillingham,2.63,2.63,3.2,1.66,2.2,1.83,1.83,D,A,A,O,O,U,Y,N,Y
2025-04-18,11:00,ENGLAND 4,Carlisle,Port Vale,3.4,2.1,3.25,1.78,2.0,1.83,1.83,D,A,A,O,O,U,Y,N,Y
2025-04-18,11:00,ENGLAND 4,Tranmere,Doncaster,3.6,2.0,3.4,1.87,1.9,1.73,2.0,D,A,A,O,O,U,Y,N,Y
2025-04-18,11:00,ENGLAND 4,Salford,Accrington,1.8,4.5,3.4,1.68,2.15,1.91,1.8,D,A,A,O,O,U,Y,N,Y
2025-04-18,11:00,ENGLAND 4,MK Dons,Newport,1.53,5.0,4.5,2.25,1.62,1.73,2.0,D,A,A,O,O,U,Y,N,Y
2025-04-18,11:00,ENGLAND 4,Grimsby,Swindon,1.83,4.33,3.4,2.0,1.8,1.8,1.91,D,A,A,O,O,U,Y,N,Y
2025-04-18,11:00,ENGLAND 4,Colchester,Crewe,2.05,3.4,3.4,1.66,2.2,2.0,1.73,D,A,A,O,O,U,Y,N,Y
2025-04-18,11:00,ENGLAND 4,Walsall,Harrogate,1.5,6.5,3.9,1.87,1.9,2.0,1.73,D,A,A,O,O,U,Y,N,Y
2025-04-18,11:00,ROMANIA 1,Otelul,Unirea Slobozia,1.8,4.75,3.0,1.47,2.6,2.25,1.57,D,D,A,O,O,O,N,N,Y
2025-04-18,11:00,BOSNIA 1,Sloboda,Radnik Bijeljina,4.75,1.62,3.8,1.83,1.91,1.87,1.75,D,A,H,O,U,U,Y,Y,N
2025-04-18,11:00,BULGARIA 2,Dunav Ruse,CSKA 1948 Sofia II,1.7,4.85,3.2,1.54,2.33,2.23,1.58,D,H,H,O,U,U,Y,N,N
2025-04-18,11:00,CROATIA 1,Lok. Zagreb,Slaven Belupo,2.3,3.1,2.8,1.87,1.87,1.67,2.1,D,A,H,U,U,O,N,N,N
2025-04-18,11:00,BULGARIA 2,Ludogorets II,Yantra Gabrovo,2.18,3.1,3.05,1.51,2.4,2.07,1.68,D,H,H,O,U,U,Y,N,N
2025-04-18,11:00,BULGARIA 2,Lovech,Lok. Gorna,2.32,3.0,2.9,1.37,2.85,2.33,1.54,D,H,H,O,U,U,Y,N,N
2025-04-18,11:00,ENGLAND 4,Bromley,Morecambe,1.86,3.8,3.5,2.0,1.8,1.69,2.0,D,A,A,O,O,U,Y,N,Y
2025-04-18,11:00,ENGLAND 3,Peterborough,Stockport County,3.3,2.05,3.5,2.0,1.8,1.62,2.2,H,H,D,O,U,O,N,Y,Y
2025-04-18,11:00,ENGLAND 2,Swansea,Hull,2.35,3.0,3.3,1.68,2.2,1.91,1.8,H,A,H,U,O,U,N,Y,Y
2025-04-18,11:00,CROATIA 2,Vukovar 1991,Dugopolje,1.36,6.25,4.5,1.61,2.18,2.75,1.4,H,A,A,U,O,U,N,Y,N
2025-04-18,11:00,ESTONIA 1,Kuressaare,Parnu JK Vaprus,2.82,2.22,3.3,1.94,1.77,1.63,2.14,D,A,D,O,O,O,N,Y,N
2025-04-18,11:00,ENGLAND 5,Yeovil,Forest Green,2.9,2.25,3.3,1.54,2.37,2.05,1.7,H,A,H,U,O,O,N,Y,Y
2025-04-18,11:00,ENGLAND 5,Tamworth,Solihull Moors,1.85,3.6,3.6,1.92,1.82,1.7,2.05,H,A,H,U,O,O,N,Y,Y
2025-04-18,11:00,ENGLAND 5,Southend,Braintree,1.73,4.33,3.6,1.84,1.9,1.91,1.91,H,A,H,U,O,O,N,Y,Y
2025-04-18,11:00,ENGLAND 5,Oldham,Hartlepool,2.05,3.2,3.5,1.75,2.01,1.91,1.91,H,A,H,U,O,O,N,Y,Y
2025-04-18,11:00,ENGLAND 5,Maidenhead,Woking,2.25,2.88,3.3,1.77,1.98,1.8,1.95,H,A,H,U,O,O,N,Y,Y
2025-04-18,11:00,ENGLAND 5,Dag & Red,Ebbsfleet,1.53,5.5,4.0,1.93,1.81,1.95,1.8,H,A,H,U,O,O,N,Y,Y
2025-04-18,11:00,ENGLAND 3,Reading,Lincoln,2.25,2.9,3.5,1.78,2.0,1.8,1.95,H,H,D,O,U,O,N,Y,Y
2025-04-18,11:00,ENGLAND 5,Altrincham,Rochdale,2.7,2.3,3.5,1.9,1.84,1.75,2.0,H,A,H,U,O,O,N,Y,Y
2025-04-18,11:00,ENGLAND 5,AFC Fylde,FC Halifax,3.0,2.2,3.3,1.74,2.01,1.8,1.95,H,A,H,U,O,O,N,Y,Y
2025-04-18,11:00,ENGLAND 5,Aldershot,Sutton,2.3,2.9,3.2,1.82,1.92,1.75,2.0,H,A,H,U,O,O,N,Y,Y
2025-04-18,11:00,ENGLAND 5,Boston Utd,Wealdstone,2.05,3.4,3.3,1.86,1.88,1.75,2.0,H,A,H,U,O,O,N,Y,Y
2025-04-18,11:00,ENGLAND 2,Blackburn,Millwall,2.35,3.2,3.1,1.5,2.6,2.1,1.67,H,A,H,U,O,U,N,Y,Y
2025-04-18,11:00,ENGLAND 2,Watford,Burnley,4.75,1.8,3.4,1.6,2.35,2.1,1.67,H,A,H,U,O,U,N,Y,Y
2025-04-18,11:00,ENGLAND 2,Norwich,Portsmouth,1.8,4.2,3.75,2.0,1.83,1.73,2.0,H,A,H,U,O,U,N,Y,Y
2025-04-18,11:00,ENGLAND 2,Coventry,West Brom,2.15,3.1,3.6,1.85,1.96,1.73,2.0,H,A,H,U,O,U,N,Y,Y
2025-04-18,11:00,ENGLAND 2,Middlesbrough,Plymouth,1.4,6.5,5.0,2.35,1.6,1.8,1.91,H,A,H,U,O,U,N,Y,Y
2025-04-18,11:00,ENGLAND 2,Bristol City,Sunderland,2.3,2.9,3.5,1.75,2.1,1.83,1.83,H,A,H,U,O,U,N,Y,Y
2025-04-18,11:00,ENGLAND 2,Stoke,Sheffield Wed,2.3,3.1,3.3,1.8,2.0,1.8,1.91,H,A,H,U,O,U,N,Y,Y
2025-04-18,11:00,ENGLAND 2,Preston,QPR,2.25,3.4,3.1,1.55,2.45,2.1,1.67,H,A,H,U,O,U,N,Y,Y
2025-04-18,11:30,SLOVAKIA 2,Samorin,Z. Moravce-Vrable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,H,H,U,U,U,N,N,N
2025-04-18,11:30,SLOVAKIA 2,Pohronie,Petrzalka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,H,H,U,U,U,N,N,N
2025-04-18,11:30,BOSNIA 2,Zeljeznicar Banja Luka,Novi Grad,1.75,4.45,3.15,1.59,2.21,2.07,1.68,A,H,H,O,U,O,N,N,Y
2025-04-18,11:30,PORTUGAL 1,Rio Ave,Santa Clara,2.88,2.7,2.9,1.57,2.4,2.0,1.75,D,A,H,U,U,U,Y,Y,N
2025-04-18,11:30,PORTUGAL 1,SC Farense,Boavista,1.8,4.75,3.4,1.65,2.2,2.0,1.75,D,A,H,U,U,U,Y,Y,N
2025-04-18,12:00,UKRAINE 1,Dyn. Kyiv,Obolon,1.28,9.25,5.0,2.08,1.7,2.15,1.55,A,A,D,U,U,U,N,Y,Y
2025-04-18,13:00,AUSTRIA 2,Kapfenberg,Amstetten,2.42,2.65,3.45,2.05,1.71,1.57,2.25,D,H,A,U,U,U,Y,N,Y
2025-04-18,13:00,AUSTRIA 2,Lafnitz,ASK Voitsberg,3.3,1.95,3.8,2.12,1.67,1.6,2.2,D,H,A,U,U,U,Y,N,Y
2025-04-18,13:00,AUSTRIA 2,Sturm Graz II,First Vienna,2.95,2.2,3.5,2.27,1.59,1.5,2.42,D,H,A,U,U,U,Y,N,Y
2025-04-18,13:00,AUSTRIA 2,St. Polten,Ried,2.8,2.37,3.3,1.85,1.88,1.7,2.02,D,H,A,U,U,U,Y,N,Y
2025-04-18,13:00,AUSTRIA 2,Floridsdorfer AC,SK Rapid II,1.91,3.6,3.55,1.9,1.84,1.75,1.95,D,H,A,U,U,U,Y,N,Y
2025-04-18,13:00,AUSTRIA 2,Horn,Bregenz,2.95,2.25,3.4,1.93,1.81,1.65,2.1,D,H,A,U,U,U,Y,N,Y
2025-04-18,13:00,AUSTRIA 2,A. Lustenau,Liefering,2.4,2.8,3.25,1.88,1.86,1.65,2.1,D,H,A,U,U,U,Y,N,Y
2025-04-18,13:00,BOSNIA 1,GOSK Gabela,Sloga Doboj,5.9,1.47,4.2,1.92,1.82,1.9,1.72,D,A,H,O,U,U,Y,Y,N
2025-04-18,13:00,ESTONIA 1,Harju JK Laagri,Tammeka,2.42,2.55,3.3,2.17,1.61,1.51,2.4,D,A,D,O,O,O,N,Y,N
2025-04-18,13:00,BULGARIA 1,Krumovgrad,CSKA Sofia,10.0,1.33,4.75,1.69,2.09,2.75,1.4,H,A,H,U,U,U,Y,Y,Y
2025-04-18,13:05,SAUDI ARABIA 1,Al Kholood,Damac,2.15,3.3,3.0,1.95,1.8,1.62,2.2,H,H,H,O,U,O,Y,N,N
2025-04-18,13:20,SAUDI ARABIA 1,Al Ahli SC,Al Fayha,1.3,9.0,5.25,2.25,1.6,2.1,1.67,H,H,H,O,U,O,Y,N,N
2025-04-18,13:30,ENGLAND 2,Sheffield Utd,Cardiff,1.57,5.75,4.0,1.92,1.88,1.91,1.8,H,A,H,U,O,U,N,Y,Y
2025-04-18,13:30,ENGLAND 5,Barnet,Eastleigh,1.29,8.0,5.25,2.14,1.66,2.1,1.67,H,A,H,U,O,O,N,Y,Y
2025-04-18,13:30,CHILE 2,Deportes Temuco,San Luis,1.91,3.85,3.5,1.7,2.07,1.93,1.78,A,A,H,U,O,O,Y,Y,N
2025-04-18,13:30,CHILE 2,S. Wanderers,Recoleta,2.15,3.45,3.2,1.62,2.21,1.91,1.8,A,A,H,U,O,O,Y,Y,N
2025-04-18,13:45,CROATIA 1,Varazdin,Hajduk Split,4.0,1.91,3.1,1.49,2.5,2.2,1.62,D,A,H,U,U,O,N,N,N
2025-04-18,14:00,PORTUGAL 1,FC Porto,Famalicao,1.48,5.75,4.75,1.9,1.87,2.05,1.7,D,A,H,U,U,U,Y,Y,N
2025-04-18,14:00,TURKEY 1,Hatayspor,Konyaspor,3.9,1.8,3.6,1.98,1.79,1.67,2.1,H,H,D,O,O,O,N,Y,Y
2025-04-18,14:00,DENMARK 1,Brondby,Nordsjaelland,2.1,3.0,3.8,2.29,1.62,1.53,2.38,H,H,D,O,O,U,N,Y,N
2025-04-18,14:00,URUGUAY 1,Danubio,Boston River,2.3,2.9,3.2,1.49,2.5,2.1,1.67,D,D,D,O,O,O,N,Y,N
