Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_A_Lay,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2025-01-18,00:05:00,MEXICO - LIGA MX,Necaxa,Guadalajara Chivas,2.6,2.86,3.0,3.45,1.9,2.02,1.74,2.12,D,D,H,U,U,U,Y,N,N
2025-01-18,01:00:00,AUSTRALIA - A-LEAGUE,Auckland FC,Melbourne City,2.34,3.4,3.5,3.45,1.89,1.92,1.8,2.14,D,D,D,O,U,U,Y,Y,Y
2025-01-18,03:00:00,AUSTRALIA - A-LEAGUE,Sydney FC,Brisbane Roar,1.43,7.6,8.2,5.6,3.1,1.42,1.66,2.34,D,D,D,O,U,U,Y,Y,Y
2025-01-18,05:35:00,AUSTRALIA - A-LEAGUE,Adelaide United,Melbourne Victory,2.22,3.3,3.35,3.95,2.88,1.5,1.48,2.94,D,D,D,O,U,U,Y,Y,Y
2025-01-18,07:30:00,TURKEY - SUPER LIG,Basaksehir,Rizespor,2.28,3.6,3.8,3.35,1.9,2.0,1.77,2.2,H,D,D,O,O,O,N,N,N
2025-01-18,07:30:00,TURKEY - 1. LIG,Erzurumspor,Bandirmaspor,2.52,3.3,3.55,3.1,1.64,2.26,1.92,1.9,A,D,H,U,O,U,N,N,N
2025-01-18,08:00:00,PORTUGAL - LIGA PORTUGAL 2,Alverca,FC Porto B,2.0,4.2,4.7,3.45,1.9,1.94,1.78,2.04,D,H,H,O,U,U,Y,Y,N
2025-01-18,09:00:00,GERMANY - 2. BUNDESLIGA,Braunschweig,Schalke,3.4,2.18,2.24,3.85,2.3,1.71,1.61,2.4,H,H,H,U,O,O,N,N,Y
2025-01-18,09:00:00,GERMANY - 2. BUNDESLIGA,Kaiserslautern,Ulm,1.91,4.2,4.5,3.8,2.06,1.82,1.72,2.16,H,H,H,U,O,O,N,N,Y
2025-01-18,09:00:00,GERMANY - 2. BUNDESLIGA,Preussen Munster,Greuther Furth,2.64,2.86,3.0,3.5,1.98,1.92,1.72,2.24,H,H,H,U,O,O,N,N,Y
2025-01-18,09:30:00,ENGLAND - CHAMPIONSHIP,Millwall,Hull,2.26,3.9,4.0,3.2,1.59,2.6,2.16,1.84,A,H,D,O,O,O,Y,Y,Y
2025-01-18,09:30:00,ENGLAND - LEAGUE TWO,Gillingham,Doncaster,3.4,2.28,2.42,3.3,1.75,2.12,1.87,2.04,D,D,A,U,O,U,Y,N,Y
