League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
THAILAND - THAI LEAGUE 1,27/08/2024,08:00,Lamphun Warrior,Nong Bua Pitchaya,1.6,3.95,5.0,1.7,2.07,1.72,2.0,D,A,D,O,U,U,Y,Y,N
THAILAND - THAI LEAGUE 1,27/08/2024,09:00,Port MTI FC,Sukhothai,1.21,6.2,10.5,1.33,3.05,1.78,1.93,D,A,D,O,U,U,Y,Y,N
INDONESIA - LIGA 1,27/08/2024,09:00,Borneo,Bali United,1.78,3.7,3.85,1.57,2.1,1.55,2.15,D,A,H,O,U,U,N,Y,N
UZBEKISTAN - SUPER LEAGUE,27/08/2024,10:00,Bunyodkor,OKMK,3.95,3.25,1.9,1.93,1.78,1.72,1.9,A,A,H,U,O,O,Y,N,Y
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,27/08/2024,12:45,Al Fateh,Al Ahli SC,5.25,4.75,1.53,1.44,2.63,1.57,2.25,D,A,H,U,U,O,N,N,Y
URUGUAY - PRIMERA DIVISION,27/08/2024,13:30,Racing Montevideo,Wanderers,2.2,3.1,3.4,2.1,1.7,1.83,1.83,D,A,D,U,U,U,N,Y,Y
NORWAY - OBOS-LIGAEN,27/08/2024,14:00,Kongsvinger,Sandnes,1.33,4.75,7.5,1.36,3.1,1.62,2.2,A,A,A,O,U,O,Y,Y,Y
SWEDEN - SUPERETTAN,27/08/2024,14:00,Brage,Helsingborg,2.25,3.4,3.1,1.9,1.95,1.7,2.05,H,D,H,U,O,O,N,Y,N
SWEDEN - SUPERETTAN,27/08/2024,14:00,Utsikten,Orebro,2.63,3.25,2.6,1.83,2.03,1.62,2.2,H,D,H,U,O,O,N,Y,N
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,27/08/2024,15:00,Al Raed,Al Qadisiya,5.25,3.75,1.62,1.62,2.25,1.67,2.1,D,A,H,U,U,O,N,N,Y
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,27/08/2024,15:00,Al Feiha,Al Nassr,9.0,8.0,1.18,1.29,3.5,1.8,1.91,D,A,H,U,U,O,N,N,Y
NORTHERN IRELAND - NIFL CHAMPIONSHIP,27/08/2024,15:45,Limavady,Institute,3.15,3.8,1.98,1.44,2.42,1.4,2.5,D,H,D,U,U,O,Y,N,Y
NORTHERN IRELAND - NIFL CHAMPIONSHIP,27/08/2024,15:45,H&W Welders,Dundela,2.45,3.65,2.45,1.44,2.42,1.39,2.57,D,H,D,U,U,O,Y,N,Y
URUGUAY - PRIMERA DIVISION,27/08/2024,15:45,Danubio,Boston River,2.35,3.1,3.0,2.4,1.53,2.0,1.73,D,A,D,U,U,U,N,Y,Y
VENEZUELA - LIGA FUTVE,27/08/2024,16:00,Metropolitanos,La Guaira,2.35,3.0,3.05,2.07,1.6,1.8,1.82,H,D,D,O,O,U,Y,Y,Y
URUGUAY - PRIMERA DIVISION,27/08/2024,18:00,Maldonado,River Plate,2.35,3.1,3.1,2.2,1.65,1.83,1.83,D,A,D,U,U,U,N,Y,Y
PARAGUAY - PRIMERA DIVISION,27/08/2024,18:30,General Caballero JLM,Sportivo Trinidense,2.6,3.0,2.5,2.2,1.65,1.83,1.83,D,A,D,O,U,U,N,N,N
VENEZUELA - LIGA FUTVE,27/08/2024,18:45,Monagas,Portuguesa,2.07,3.05,3.55,1.98,1.65,1.75,1.87,H,D,D,O,O,U,Y,Y,Y
CHILE - PRIMERA DIVISION,27/08/2024,19:00,U. De Chile,U. Espanola,1.55,4.2,5.25,1.57,2.35,1.67,2.1,A,A,D,O,U,U,Y,N,Y
BRAZIL - BRASILEIRO WOMEN,27/08/2024,19:00,Corinthians W,Bragantino W,1.23,5.7,10.0,1.47,2.35,1.98,1.65,H,H,A,O,O,O,Y,N,Y
URUGUAY - PRIMERA DIVISION,27/08/2024,20:30,Fenix,Cerro Largo,2.6,2.88,2.7,2.5,1.5,2.1,1.67,D,A,D,U,U,U,N,Y,Y
