Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_A_Lay,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2025-02-15,00:00:00,MEXICO - LIGA MX,Club Tijuana,Juarez,1.8,4.5,4.8,4.1,2.52,1.65,1.63,2.4,H,H,D,O,O,U,Y,Y,N
2025-02-15,00:00:00,MEXICO - LIGA MX,Club America,Necaxa,1.56,6.4,6.8,4.7,2.36,1.7,1.81,2.12,H,H,D,O,O,U,Y,Y,N
2025-02-15,00:00:00,MEXICO - LIGA MX,Mazatlan FC,Santos Laguna,1.76,5.2,5.5,4.0,2.08,1.9,1.83,2.06,H,H,D,O,O,U,Y,Y,N
2025-02-15,01:00:00,SOUTH KOREA - K LEAGUE 1,Pohang,Daejeon,2.04,3.95,4.4,3.45,1.76,2.18,1.92,1.98,H,H,A,U,O,O,N,N,N
2025-02-15,02:00:00,JAPAN - J1 LEAGUE,Okayama,Kyoto,3.15,2.28,2.4,3.65,1.9,2.02,1.8,2.08,H,A,A,O,U,U,N,N,Y
2025-02-15,02:00:00,JAPAN - J1 LEAGUE,Yokohama F. Marinos,Albirex Niigata,2.1,3.35,3.6,3.9,2.36,1.64,1.47,2.5,H,A,A,O,U,U,N,N,Y
2025-02-15,02:00:00,JAPAN - J1 LEAGUE,Avispa Fukuoka,Kashiwa Reysol,3.2,2.64,2.82,2.92,1.46,2.9,2.24,1.71,H,A,A,O,U,U,N,N,Y
2025-02-15,02:00:00,JAPAN - J1 LEAGUE,Fujieda MYFC,FC Tokyo,2.62,2.76,2.92,3.45,1.85,2.04,1.83,2.06,H,A,A,O,U,U,N,N,Y
2025-02-15,02:00:00,JAPAN - J2 LEAGUE,Iwaki,Chiba,3.15,2.26,2.44,3.3,2.06,1.83,1.69,2.24,H,D,A,U,U,U,N,Y,N
2025-02-15,02:00:00,JAPAN - J2 LEAGUE,Fujieda MYFC,Tokushima,3.8,2.12,2.24,3.35,1.86,2.06,1.81,2.06,H,D,A,U,U,U,N,Y,N
2025-02-15,02:00:00,JAPAN - J2 LEAGUE,Kofu,Renofa Yamaguchi,2.36,3.45,3.7,3.1,1.64,2.36,2.0,1.87,H,D,A,U,U,U,N,Y,N
2025-02-15,02:00:00,JAPAN - J1 LEAGUE,Vissel Kobe,Urawa Reds,1.72,5.4,6.0,3.75,1.82,2.08,2.04,1.86,H,A,A,O,U,U,N,N,Y
2025-02-15,02:00:00,JAPAN - J2 LEAGUE,Iwata,Mito,1.82,4.7,5.1,3.75,1.98,1.96,1.87,2.02,H,D,A,U,U,U,N,Y,N
2025-02-15,02:00:00,JAPAN - J2 LEAGUE,Omiya,Montedio Yamagata,3.2,2.26,2.44,3.55,2.06,1.82,1.54,2.08,H,D,A,U,U,U,N,Y,N
2025-02-15,02:00:00,JAPAN - J2 LEAGUE,Sagan Tosu,Vegalta Sendai,2.32,3.25,3.45,3.45,1.92,1.96,1.78,2.14,H,D,A,U,U,U,N,Y,N
2025-02-15,03:00:00,JAPAN - J1 LEAGUE,Shonan Bellmare,Kashima Antlers,3.75,2.14,2.24,3.35,1.83,2.06,1.85,2.04,H,A,A,O,U,U,N,N,Y
2025-02-15,03:00:00,JAPAN - J1 LEAGUE,Kawasaki Frontale,Nagoya Grampus,1.94,4.0,4.4,3.75,2.06,1.85,1.65,2.16,H,A,A,O,U,U,N,N,Y
2025-02-15,03:00:00,AUSTRALIA - A-LEAGUE,Melbourne City,Perth Glory,1.32,10.0,11.0,6.2,2.72,1.5,1.87,1.99,D,H,A,U,O,O,N,N,N
2025-02-15,03:30:00,SOUTH KOREA - K LEAGUE 1,Jeju Utd,Seoul,3.65,2.18,2.28,3.35,1.83,2.08,1.87,2.0,H,H,A,U,O,O,N,N,N
2025-02-15,04:00:00,AUSTRALIA - A-LEAGUE,Western United,Auckland FC,2.72,2.68,2.76,3.65,2.2,1.76,1.63,2.38,D,H,A,U,O,O,N,N,N
2025-02-15,04:30:00,SOUTH KOREA - K LEAGUE 1,Gwangju FC,Suwon FC,2.3,3.55,3.75,3.25,1.75,2.24,1.93,1.96,H,H,A,U,O,O,N,N,N
2025-02-15,05:35:00,AUSTRALIA - A-LEAGUE,Adelaide United,Newcastle Jets,1.54,6.2,6.4,5.1,3.55,1.36,1.48,3.0,D,H,A,U,O,O,N,N,N
2025-02-15,07:00:00,JAPAN - J2 LEAGUE,V-Varen Nagasaki,Kumamoto,1.94,3.9,4.3,3.95,2.26,1.7,1.67,2.32,H,D,A,U,U,U,N,Y,N
2025-02-15,07:30:00,BULGARIA - PARVA LIGA,Krumovgrad,Cherno More,6.0,1.74,1.85,3.3,1.53,2.56,2.28,1.59,D,D,H,O,O,U,Y,N,Y
2025-02-15,07:30:00,TURKEY - SUPER LIG,Gaziantep,Sivasspor,2.08,3.75,4.1,3.65,2.0,1.9,1.76,2.16,D,H,A,O,U,U,N,Y,N
2025-02-15,08:00:00,PORTUGAL - LIGA PORTUGAL 2,Chaves,Felgueiras,2.24,3.7,4.2,3.15,1.65,2.34,1.96,1.9,A,D,D,O,O,U,N,Y,Y
2025-02-15,08:00:00,SPAIN - SEGUNDA RFEF,Granada B,San Fernando CD,2.7,2.78,3.4,2.78,1.48,2.6,2.1,1.72,A,H,H,O,O,U,Y,Y,Y
2025-02-15,09:00:00,SERBIA - SUPER LIGA,IMT Novi Beograd,Sp. Subotica,1.88,4.0,5.5,3.15,1.69,2.04,2.0,1.92,D,A,H,O,O,U,N,N,Y
2025-02-15,09:00:00,GERMANY - 2. BUNDESLIGA,Kaiserslautern,Hannover,2.9,2.52,2.58,3.7,2.24,1.72,1.58,2.52,A,H,D,O,O,O,N,Y,N
2025-02-15,09:00:00,GERMANY - 2. BUNDESLIGA,Braunschweig,Darmstadt,3.05,2.36,2.44,3.8,2.2,1.73,1.64,2.42,A,H,D,O,O,O,N,Y,N
2025-02-15,09:00:00,GERMANY - 2. BUNDESLIGA,Elversberg,Greuther Furth,1.94,3.9,4.1,4.0,2.66,1.58,1.56,2.58,A,H,D,O,O,O,N,Y,N
2025-02-15,09:00:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Radnik Bijeljina,Nk Posusje,1.44,3.25,9.2,2.14,1.41,2.1,1.05,1.05,H,H,H,U,O,U,N,Y,Y
2025-02-15,09:30:00,ENGLAND - LEAGUE TWO,Doncaster,Grimsby,1.73,5.3,5.7,4.0,2.2,1.62,1.6,2.0,H,H,H,O,O,O,N,Y,Y
2025-02-15,09:30:00,ENGLAND - LEAGUE ONE,Cambridge Utd,Exeter,2.2,3.55,3.9,3.35,1.78,2.16,1.89,2.06,D,D,H,O,O,O,N,Y,Y
