Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2025-06-27,07:30,SOUTH KOREA 1,Gimcheon Sangmu,Jeonbuk,2.88,2.7,2.9,1.91,1.82,1.57,2.25,D,H,H,O,U,U,N,N,N
2025-06-27,07:30,SOUTH KOREA 1,Daejeon,Jeju SK,2.3,3.1,3.2,1.72,2.05,1.83,1.83,D,H,H,O,U,U,N,N,N
2025-06-27,12:00,FINLAND 1,Gnistan,Inter Turku,4.0,1.8,3.9,2.12,1.7,1.67,2.1,H,H,H,O,O,U,N,Y,N
2025-06-27,12:30,FINLAND 2,EPS,KuPS Akatemia,1.8,3.4,3.9,2.6,1.48,1.44,2.63,D,H,A,O,U,U,N,N,Y
2025-06-27,12:30,FINLAND 2,Ekenas,PK-35,2.25,3.0,3.25,1.7,1.91,1.72,1.88,D,H,A,O,U,U,N,N,Y
2025-06-27,13:00,FINLAND 2,TPS,JaPS,6.5,1.31,5.2,3.3,1.24,1.4,2.52,D,H,A,O,U,U,N,N,Y
2025-06-27,13:00,ESTONIA 1,Levadia,Narva,1.36,6.5,4.6,2.2,1.52,0.0,0.0,H,H,H,O,O,O,N,N,N
2025-06-27,14:00,FINLAND 1,KuPS,HJK,3.0,2.25,3.6,2.0,1.75,1.67,2.1,H,H,H,O,O,U,N,Y,N
2025-06-27,14:00,ESTONIA 1,Parnu JK Vaprus,Kalju,4.85,1.53,4.0,2.07,1.6,0.0,0.0,H,H,H,O,O,O,N,N,N
2025-06-27,14:00,SWEDEN 2,Brage,Sandviken,2.4,2.6,3.4,2.0,1.72,1.67,2.1,H,A,A,U,U,O,Y,Y,Y
2025-06-27,14:00,SWEDEN 2,Varberg,Utsikten,1.55,5.0,3.9,2.02,1.7,1.8,1.95,H,A,A,U,U,O,Y,Y,Y
2025-06-27,15:00,ICELAND 2,Fjolnir,Thor Akureyri,3.8,1.7,4.25,2.72,1.35,1.4,2.52,D,A,H,U,U,O,N,Y,Y
2025-06-27,15:00,PERU 1,Ayacucho,Los Chankas,2.4,2.88,3.3,1.75,1.95,1.73,2.0,H,D,H,U,U,O,Y,Y,Y
2025-06-27,15:30,ICELAND 1,KA Akureyri,Valur,3.0,2.05,3.9,2.57,1.45,1.44,2.6,H,A,D,U,O,O,Y,Y,Y
2025-06-27,15:45,IRELAND 1,Bohemians,Sligo Rovers,1.4,7.0,4.75,2.22,1.6,1.8,1.95,D,H,A,U,O,O,N,Y,Y
2025-06-27,15:45,IRELAND 1,Cork City,St. Patricks,3.75,1.91,3.6,1.75,1.98,1.91,1.91,D,H,A,U,O,O,N,Y,Y
2025-06-27,15:45,IRELAND 1,Galway,Shelbourne,2.88,2.75,2.88,1.53,2.35,2.0,1.75,D,H,A,U,O,O,N,Y,Y
2025-06-27,15:45,IRELAND 1,Derry City,Drogheda,1.8,5.0,3.3,1.55,2.32,2.2,1.62,D,H,A,U,O,O,N,Y,Y
2025-06-27,16:00,IRELAND 1,Shamrock Rovers,Waterford,1.36,8.5,4.5,2.05,1.7,1.95,1.8,D,H,A,U,O,O,N,Y,Y
2025-06-27,16:15,ICELAND 2,IR Reykjavik,Grindavik,1.62,4.15,4.35,2.67,1.36,1.42,2.45,D,A,H,U,U,O,N,Y,Y
2025-06-27,16:15,ICELAND 2,Selfoss,Leiknir,2.65,2.18,3.95,2.62,1.37,1.36,2.65,D,A,H,U,U,O,N,Y,Y
2025-06-27,16:15,ICELAND 2,Throttur,Kopavogur,2.27,2.57,3.9,2.4,1.44,1.42,2.45,D,A,H,U,U,O,N,Y,Y
2025-06-27,16:15,ICELAND 1,Stjarnan,Breidablik,2.65,2.27,3.85,2.95,1.35,1.33,3.05,H,A,D,U,O,O,Y,Y,Y
2025-06-27,17:15,PERU 1,Juan Pablo II,Cienciano,2.7,2.55,3.2,1.78,1.93,1.73,2.0,H,D,H,U,U,O,Y,Y,Y
2025-06-27,19:30,PERU 1,Binacional,Sport Huancayo,3.25,2.1,3.5,1.85,1.87,1.73,2.0,H,D,H,U,U,O,Y,Y,Y
2025-06-27,20:30,BRAZIL 2,Criciuma,Avai,2.05,3.6,3.1,1.52,2.42,2.1,1.67,H,H,D,O,U,U,Y,Y,Y
2025-06-27,21:00,ECUADOR 1,Dep. Cuenca,Mushuc Runa,1.85,4.0,3.5,1.82,1.93,1.8,1.91,D,H,A,U,O,U,N,Y,N
2025-06-27,21:10,ARGENTINA COPA,Belgrano,Def. de Belgrano,1.78,4.8,3.25,1.45,2.57,2.4,1.5,A,A,H,U,U,O,Y,Y,N
