League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
ROMANIA - LIGA 2,29/04/2024,09:00,Hunedoara,Selimbar,1.95,3.2,4.0,2.15,1.65,1.9,1.82,H,H,A,U,O,U,Y,N,Y
CYPRUS - CYTA CHAMPIONSHIP,29/04/2024,11:00,Othellos Athienou,Zakakiou,1.26,6.64,7.29,1.07,6.94,1.22,3.81,D,A,H,U,U,O,Y,Y,Y
ROMANIA - LIGA 1,29/04/2024,11:30,Petrolul,FC Botosani,2.3,3.0,3.0,2.35,1.57,2.0,1.73,H,D,H,U,U,U,Y,N,Y
BULGARIA - PARVA LIGA,29/04/2024,11:45,CSKA 1948 Sofia,Arda,2.2,3.2,3.5,2.2,1.65,1.91,1.8,D,D,H,O,U,U,N,Y,Y
UKRAINE - PREMIER LEAGUE,29/04/2024,12:00,Zhytomyr,Vorskla Poltava,2.52,3.05,2.72,2.2,1.53,1.91,1.7,A,D,A,U,U,U,N,N,N
SLOVENIA - PRVA LIGA,29/04/2024,12:30,Mura,Aluminij,1.98,3.4,3.55,1.88,1.87,1.72,2.0,D,H,A,O,U,O,N,Y,N
POLAND - DIVISION 1,29/04/2024,13:00,Chrobry Glogow,Wisla Plock,3.0,3.3,2.15,1.93,1.93,1.67,2.1,H,A,H,O,O,U,Y,Y,N
POLAND - DIVISION 1,29/04/2024,13:00,Odra Opole,Motor Lublin,2.5,3.0,2.75,2.4,1.53,2.0,1.73,H,A,H,O,O,U,Y,Y,N
EGYPT - PREMIER LEAGUE,29/04/2024,13:00,Ceramica Cleopatra,Pharco,1.93,2.95,4.35,2.2,1.52,1.93,1.7,A,D,A,U,O,U,Y,Y,Y
CYPRUS - CYTA CHAMPIONSHIP,29/04/2024,13:30,Apollon,Karmiotissa,1.42,4.85,5.0,1.3,3.24,1.49,2.54,D,A,H,U,U,O,Y,Y,Y
CYPRUS - CYTA CHAMPIONSHIP,29/04/2024,13:30,Doxa,AEL Limassol,2.75,3.8,2.07,1.44,2.51,1.42,2.77,D,A,H,U,U,O,Y,Y,Y
DENMARK - SUPERLIGA,29/04/2024,14:00,Silkeborg,Midtjylland,3.8,3.8,1.85,1.8,2.0,1.7,2.05,D,D,H,O,U,U,Y,N,Y
SWEDEN - SUPERETTAN,29/04/2024,14:00,Trelleborg,Degerfors,3.25,3.4,1.95,1.85,2.0,1.75,2.0,D,D,D,O,U,U,N,N,Y
ISRAEL - LIGAT HA'AL,29/04/2024,14:00,H. Beer Sheva,Sakhnin,1.67,3.6,4.75,2.2,1.65,2.2,1.62,A,D,D,U,O,O,Y,N,Y
SWEDEN - ALLSVENSKAN,29/04/2024,14:00,Mjallby,Kalmar,2.0,3.5,3.75,2.2,1.65,2.0,1.75,A,D,H,O,O,O,N,Y,Y
TURKEY - SUPER LIG,29/04/2024,14:00,Karagumruk,Antalyaspor,1.95,3.6,3.8,1.67,2.15,1.57,2.25,A,H,A,U,U,O,N,Y,Y
SWEDEN - ALLSVENSKAN,29/04/2024,14:00,Elfsborg,Sirius,1.91,3.8,3.75,1.7,2.1,1.62,2.2,A,D,H,O,O,O,N,Y,Y
POLAND - EKSTRAKLASA,29/04/2024,14:00,Puszcza,Korona Kielce,2.55,3.2,2.8,2.15,1.67,1.91,1.91,A,A,D,O,U,U,N,N,Y
SWEDEN - ALLSVENSKAN,29/04/2024,14:00,Brommapojkarna,Goteborg,2.5,3.5,2.75,1.9,1.95,1.7,2.05,A,D,H,O,O,O,N,Y,Y
SWEDEN - ALLSVENSKAN,29/04/2024,14:10,Hammarby,Vasteras SK,1.95,3.6,3.6,1.73,2.08,1.67,2.1,A,D,H,O,O,O,N,Y,Y
BULGARIA - PARVA LIGA,29/04/2024,14:15,Beroe,Etar,1.65,3.6,6.0,2.15,1.67,2.1,1.67,D,D,H,O,U,U,N,Y,Y
ISRAEL - LIGAT HA'AL,29/04/2024,14:30,Hapoel Haifa,Maccabi Haifa,5.25,3.8,1.62,1.73,2.08,1.8,1.91,A,D,D,U,O,O,Y,N,Y
ROMANIA - LIGA 1,29/04/2024,14:30,FC Rapid Bucuresti,Univ. Craiova,2.1,3.3,2.88,1.7,2.1,1.57,2.25,H,D,H,U,U,U,Y,N,Y
SOUTH AFRICA - PREMIER LEAGUE,29/04/2024,14:30,Mamelodi Sundowns,TS Galaxy,1.5,3.85,6.4,2.07,1.7,2.18,1.62,D,A,D,O,U,O,Y,Y,N
URUGUAY - PRIMERA DIVISION,29/04/2024,15:00,Racing Montevideo,Fenix,2.1,3.2,3.75,2.4,1.53,2.1,1.67,A,A,D,U,O,O,N,Y,N
ICELAND - BESTA DEILD KARLA,29/04/2024,15:00,Valur,Fram,1.52,4.35,5.2,1.5,2.42,1.6,2.2,A,D,H,U,O,O,Y,N,Y
NETHERLANDS - EERSTE DIVISIE,29/04/2024,15:00,FC Emmen,Helmond,1.85,4.0,3.75,1.6,2.3,1.62,2.2,D,D,H,O,O,U,N,Y,N
NETHERLANDS - EERSTE DIVISIE,29/04/2024,15:00,Jong Utrecht,Den Haag,4.75,4.2,1.67,1.57,2.35,1.62,2.2,D,D,H,O,O,U,N,Y,N
