Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_A_Lay,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
2025-03-16,00:05:00,MEXICO - LIGA MX,Atlas,Club America,4.5,1.93,1.94,3.75,1.97,2.02,1.83,2.08,A,H,D,O,U,O,Y,N,N
2025-03-16,01:00:00,AUSTRALIA - A-LEAGUE,Auckland FC,Central Coast Mariners,1.5,7.4,7.8,4.8,2.3,1.69,1.89,2.02,D,D,H,O,O,U,Y,Y,Y
2025-03-16,01:00:00,JAPAN - J1 LEAGUE,Shimizu S-Pulse,Kyoto,2.36,3.35,3.6,3.2,1.77,2.16,1.89,1.99,A,A,D,U,U,O,N,Y,Y
2025-03-16,01:00:00,JAPAN - J2 LEAGUE,Kumamoto,Montedio Yamagata,2.5,2.78,3.0,3.55,2.08,1.83,1.69,2.28,D,H,A,O,O,O,Y,Y,N
2025-03-16,02:00:00,JAPAN - J2 LEAGUE,Chiba,Ehime,1.41,8.0,10.0,5.0,2.28,1.7,1.96,1.92,D,H,A,O,O,O,Y,Y,N
2025-03-16,02:00:00,JAPAN - J2 LEAGUE,FC Imabari,Toyama,2.14,4.0,4.6,3.05,1.62,2.36,1.91,1.76,D,H,A,O,O,O,Y,Y,N
2025-03-16,02:00:00,JAPAN - J2 LEAGUE,Mito,Vegalta Sendai,3.0,2.64,2.8,3.2,1.63,2.4,2.0,1.87,D,H,A,O,O,O,Y,Y,N
2025-03-16,02:00:00,JAPAN - J2 LEAGUE,Renofa Yamaguchi,Oita Trinita,2.8,2.94,3.05,3.1,1.48,2.8,2.24,1.73,D,H,A,O,O,O,Y,Y,N
2025-03-16,02:00:00,JAPAN - J1 LEAGUE,Yokohama F. Marinos,Gamba Osaka,2.18,3.5,3.8,3.45,1.94,1.96,1.75,2.16,A,A,D,U,U,O,N,Y,Y
2025-03-16,02:00:00,JAPAN - J1 LEAGUE,Okayama,Kawasaki Frontale,3.55,2.16,2.28,3.45,1.84,2.06,1.86,2.04,A,A,D,U,U,O,N,Y,Y
