League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,N1_MO,N2_MO,N3_MO,N1_OU,N2_OU,N3_OU,N1_BTTS,N2_BTTS,N3_BTTS
URUGUAY - PRIMERA DIVISION,11/06/2024,15:00,Rampla Juniors,Boston River,3.2,3.3,2.1,1.93,1.88,1.73,2.0,H,A,D,O,U,O,N,Y,Y
BRAZIL - SERIE A,11/06/2024,19:00,Atletico GO,Corinthians,2.55,3.1,2.9,2.6,1.48,2.1,1.67,A,D,H,O,U,U,Y,N,N
BRAZIL - SERIE A,11/06/2024,19:00,Juventude,Vitoria,2.05,3.1,4.1,2.5,1.5,2.1,1.67,A,D,H,O,U,U,Y,N,N
BRAZIL - SERIE B,11/06/2024,19:00,Mirassol,Goias,2.2,3.1,3.5,2.5,1.5,2.1,1.67,H,D,H,U,U,O,Y,Y,Y
BRAZIL - SERIE A,11/06/2024,20:00,Botafogo RJ,Fluminense,2.0,3.4,3.75,2.1,1.7,1.91,1.91,A,D,H,O,U,U,Y,N,N
BRAZIL - SERIE A,11/06/2024,21:30,Bragantino,Atletico-MG,2.38,3.2,3.1,2.25,1.62,1.95,1.8,A,D,H,O,U,U,Y,N,N
